Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
380,94.72419557,40.25282073,72.03301295,56.00710405,33.52486419,45.66443794,25.09402424,76.22231509,76.10739657,75.53280401,76.43125784,81.61434978,41.0606356,71.47592123,55.00097485,33.69077793,46.67576526,24.81965295,76.23318386,76.09670501,74.28348606,76.79859622,287.9485782,101.9488393,105.6783064,82.28386748,102.7783742,101.3854384,103.5965095,2511.069436,2440.015561,2144.93811,1647.099629
390,94.7868784,40.24237359,72.22106143,57.29210196,33.62933556,46.42707898,25.2507313,76.22231509,76.1700794,75.40743836,77.2565817,81.57535582,41.2361084,71.57340612,55.99532073,33.84675375,47.88457789,24.81965295,76.25268083,76.13569897,74.26398908,77.22752973,295.2594125,104.589402,108.4291668,84.44677758,105.3623072,104.1176669,106.2660262,2576.848131,2505.497026,2202.119635,1687.224767
400,94.73464271,40.74383619,72.47179273,58.00250731,35.78144588,46.85541162,25.11491851,76.22231509,76.10739657,75.44922691,76.98495612,81.49736791,42.15246637,71.92435173,57.26262429,35.91343342,48.33300838,24.81965295,76.23318386,76.09670501,74.08851628,77.20803275,302.5811473,107.3756696,111.2457343,86.61624196,107.9756522,106.7658776,108.9197485,2641.324867,2568.915979,2258.991882,1725.526367
410,94.79732553,42.40493105,72.68073548,60.08148767,35.94860008,46.9912244,25.05223569,76.22231509,76.18052654,75.63727539,76.95361471,81.55585884,43.82920647,72.19730942,59.79723143,35.99142133,48.37200234,24.91713784,76.23318386,76.15519594,74.20549815,77.22752973,309.9042259,110.0205676,114.0308207,88.77755553,110.5740653,109.4131106,111.5689767,2708.575795,2628.181643,2314.366679,1763.987386
420,94.84956122,42.54074384,72.88967823,60.52026745,36.28290848,47.50313414,24.98955286,76.23276222,76.13873799,75.26117844,76.68198914,81.65334373,44.12166114,72.13881848,60.14817703,36.36186391,48.82043283,24.81965295,76.25268083,76.11620199,74.14700721,76.77909924,317.2946913,112.6916436,116.7063283,90.95856582,113.1711915,112.0423619,114.1954357,2772.577466,2691.12979,2370.131976,1805.725608
430,94.90179691,42.92728792,73.10906812,60.70831592,36.57542833,48.34935228,25.26117844,76.22231509,76.11784371,75.45967405,76.96406185,81.5948528,44.58958861,72.48976409,60.30415286,36.75180347,49.67829986,24.81965295,76.23318386,76.13569897,74.14700721,77.22752973,324.6288874,115.3887336,119.4231387,93.10523594,115.7848038,114.6917413,116.8800331,2839.973118,2756.537363,2427.179413,1843.909124
440,94.93313832,44.56748851,73.23443377,61.15754283,38.80066862,49.13288759,25.1671542,76.23276222,76.11784371,75.88800669,77.507313,81.41938,45.99337103,72.60674595,60.55761357,39.32540456,50.65314876,24.91713784,76.25268083,76.13569897,74.79040749,77.53948138,331.9479112,118.0943906,122.0841597,95.27378718,118.3918563,117.3551618,119.5036389,2905.901037,2822.837064,2486.422747,1886.093576
450,95.00626828,44.40033431,73.2448809,62.17091517,39.41704973,52.77893857,25.11491851,76.22231509,76.07605516,75.42833264,77.05808608,81.55585884,45.95437707,72.76272178,61.51296549,39.85182297,53.67518035,24.80015598,76.27217781,76.05771105,74.28348606,77.13004484,339.228129,120.7351046,124.7665037,97.4565676,120.9742694,120.0372929,122.1655934,2971.519734,2888.832973,2545.995279,1930.322099
460,94.97492687,46.9076473,73.89260343,62.54701212,39.79314668,52.82072712,25.26117844,76.22231509,76.10739657,74.98955286,76.96406185,81.51686489,48.46948723,73.25014623,61.74692923,40.12478066,53.65568337,24.87814389,76.23318386,76.1941899,73.93254046,76.85708715,346.5400541,123.4219495,127.4544955,99.61825678,123.5781143,122.7718123,124.8205516,3037.871163,2953.608802,2604.488412,1968.843562
470,94.99582115,47.3255328,73.9970748,62.87087338,40.32595069,52.95653991,24.87463435,76.22231509,76.06560802,74.63435019,76.49394066,81.43887697,48.87892377,73.28914018,61.88340807,40.69019302,53.81165919,24.46870735,76.31117177,76.13569897,73.60109183,76.31117177,353.8672611,126.0754173,130.1123569,101.7915575,126.2123704,125.6629012,127.4760995,3104.70777,3018.535403,2659.49951,2006.777945
