,Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
21,210,94.1496030088,32.5219389887,66.0676974509,45.4137066444,26.650647722499997,34.047221061399995,25.6581696615,76.2223150857,76.2014208107,74.4149603009,76.13873798579999,81.5558588419,33.0083837005,65.2563852603,43.809709495,26.6133749269,35.3675180347,25.3850653149,76.23318385649999,76.2721778124,73.9130434783,76.0967050107,159.165860681,56.034344557,59.701912815,45.477722664,57.368712712,56.025391095,57.671546473999996,1395.75880163,1352.50742636,1184.35411027,902.0642439510001
22,220,94.2018386962,32.636857501,66.9034684496,46.0823234434,26.870037609700002,34.8516506477,25.302966986999998,76.2223150857,76.21186794820001,74.1746761387,77.77893857080001,81.5753558198,32.9693897446,66.3092220706,45.038019107,26.6133749269,36.3228699552,25.1511015793,76.23318385649999,76.1746929226,73.2891401833,77.32501462270001,167.02776695100002,58.689153995,62.37659038100001,47.637636251,60.119367391000004,58.642212156999996,60.349549859,1460.44321822,1415.38982989,1240.03384593,947.8812488410001
23,230,94.31675720850001,33.1278729628,66.7989970748,46.2076890932,27.810279983300003,34.987463435,25.3343083995,76.2223150857,76.1282908483,74.27914751360001,76.640200585,81.6728407097,33.6712809515,66.28972509260001,45.1355039969,27.4517449795,36.1863911094,25.1316046013,76.23318385649999,76.05771105480001,73.7375706765,76.8765841295,174.936232875,61.488596117,65.1202375,49.81543633,62.912683003000005,61.329839268,63.008360858,1526.70843388,1480.44716944,1295.43946865,990.6685249110001
24,240,94.31675720850001,33.932302549099994,67.63476807350001,46.67781028,28.2386126201,35.7396573339,25.2611784371,76.2223150857,76.1700793982,74.5194316757,77.1207689093,81.6923376877,34.451160070200004,66.9526223435,45.7204133359,27.9586664067,36.888282316200005,24.9756287775,76.23318385649999,76.2526808345,73.83505556640002,76.9545720413,182.818097712,64.144568133,67.73929291600001,51.976628461000004,65.582223417,63.966924125,65.65488164,1592.62444557,1542.30377644,1353.79610756,1035.26974372
25,250,94.29586293359999,34.2875052236,67.64521521100001,47.033012954499995,28.541579607200003,36.48140409529999,25.365649811999997,76.2223150857,76.24320936059999,75.323861262,76.2223150857,81.5753558198,34.899590563500006,66.9721193215,45.9348800936,28.5435757458,37.7071553909,25.112107623300002,76.23318385649999,76.23318385649999,74.57594072920001,76.2526808345,190.746328198,66.837532965,70.431183422,54.137568968000004,68.182248727,66.658732944,68.492313231,1658.20565089,1603.87700237,1410.32333561,1079.15109175
26,260,94.35854575849999,34.5382365232,68.1153363978,47.8165482658,29.1057250313,37.035102381899996,25.292519849599998,76.2223150857,76.2014208107,74.7388215629,76.8595904722,81.47787093000001,35.0750633652,67.4985377267,46.7732501462,29.031000195,38.116591928300004,25.0536166894,76.23318385649999,76.1356989667,73.9715344122,77.169038799,198.57157022299998,69.538422146,73.144808088,56.331165234,70.828061315,69.315539334,71.318891418,1723.49413481,1668.67292906,1468.20874986,1122.09771831
27,270,94.3794400334,34.642707898000005,68.3451734225,47.8792310907,29.356456331000004,37.1082323443,25.4701211868,76.2223150857,76.2536564981,74.35227747600001,76.6715419975,81.5948527978,35.270033144900005,68.0639500877,47.026710859800005,29.4014427764,38.1360889062,25.307077403,76.23318385649999,76.1746929226,73.56209787479999,76.66211737180001,206.47130660099998,72.232545913,75.858165449,58.49159447,73.464959462,71.957576823,74.095067755,1789.13384773,1733.64480228,1523.0498346,1164.5512875
28,280,94.4212285834,35.2486418721,68.5750104471,48.015043878,29.5758462181,37.244045131600004,25.501462599199996,76.2223150857,76.1178437108,74.676138738,77.5177601337,81.63384675380001,35.601481770300005,68.16143497759998,47.2216806395,29.518424644200003,38.428543575700004,25.326574381,76.2526808345,76.1551959446,73.6790797426,77.5394813804,214.3089074,74.913405418,78.614555344,60.657339546,76.07539217899999,74.611218941,76.878556883,1855.20982274,1797.40011546,1580.30949594,1211.01979623
29,290,94.5256999582,35.844128708700005,69.2645215211,48.0986209779,29.7638946929,37.9335562056,25.491015461800004,76.2223150857,76.0760551609,74.9477643126,77.16255745929999,81.6728407097,36.420354845,68.5513745369,47.299668551399996,29.5964125561,38.896471047,25.229089491099998,76.23318385649999,76.1356989667,74.16650419189999,77.1105478651,222.139402544,77.94153631100001,81.321020382,62.830047692,78.970917676,77.282041544,79.559766837,1917.5406509,1861.53403027,1637.49904656,1255.5021140000001
30,300,94.5465942332,36.4605098203,69.4316757209,49.1015461763,30.1190973673,39.0618470539,25.522356874200003,76.2223150857,76.15963226080001,74.95821145010001,76.8804847472,81.5948527978,37.2782218756,68.9413140963,48.7034509651,30.0838370053,39.7738350556,25.1316046013,76.23318385649999,76.0772080328,73.9910313901,76.64262039380002,229.45468224400003,80.56024164,83.97191724,64.996482365,81.87856017,79.953252889,82.250568431,1981.32108742,1926.95826622,1694.39429674,1300.60279054
